File name;Optimal solution;Iteration number;Alpha;Initial temperature;Best found solution;Relative error
gap11.txt;1139;10;0.95;100;921.00;19.14
gap12.txt;1451;1;0.95;100;1246.00;14.13
gap12.txt;1451;2;0.95;100;1231.00;15.16
gap12.txt;1451;3;0.95;100;1234.00;14.96
gap12.txt;1451;4;0.95;100;1218.00;16.06
gap12.txt;1451;5;0.95;100;1224.00;15.64
gap12.txt;1451;6;0.95;100;1218.00;16.06
gap12.txt;1451;7;0.95;100;1231.00;15.16
gap12.txt;1451;8;0.95;100;1239.00;14.61
gap12.txt;1451;9;0.95;100;1210.00;16.61
gap12.txt;1451;10;0.95;100;1229.00;15.30
